_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE?,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM?,IS_THERE_EMERGENCY_POWER?,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NON-SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
4213,INDIVIDUAL UNITS,,YES,YES,5 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,34.0,30.0,1.0,6,34,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg",NO,,PRIVATE,4154939,NO,NO,NO,105  RAGLAN AVE ,YES,FREE,12,DOUBLE PANE,1965.0,2017.0
4214,NONE,,NO,NO,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,1.0,0.0,4,36,NO,"Underground Garage , Garage accessible thru buildg",NO,GREENWIN INC.,PRIVATE,4154949,NO,YES,NO,1554  BATHURST ST ,YES,UNAVAILABLE,12,DOUBLE PANE,1926.0,2017.0
4215,NONE,,NO,NO,0 indoor parking spots and 12 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,24,NO,,YES,,PRIVATE,4154952,NO,YES,NO,1520  BATHURST ST ,YES,UNAVAILABLE,12,DOUBLE PANE,1932.0,2017.0
4216,NONE,Outdoor rec facilities,NO,NO,0 indoor parking spots and 12 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,12,YES,Surface Parking,YES,,PRIVATE,4154959,YES,NO,NO,147  VAUGHAN RD ,NO,UNAVAILABLE,12,DOUBLE PANE,1955.0,2017.0
4217,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,16,YES,,YES,,PRIVATE,4154961,NO,YES,NO,54  RAGLAN AVE ,NO,UNAVAILABLE,12,DOUBLE PANE,1960.0,2017.0
4218,NONE,,NO,NO,0 indoor parking spots and 33 outdoor parking spots,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,33,YES,Surface Parking,YES,,PRIVATE,4154965,NO,YES,NO,100  VAUGHAN RD ,NO,UNAVAILABLE,12,THERMAL,1940.0,2017.0
4219,NONE,,YES,NO,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,NO,0.0,2.0,0.0,3,16,NO,Surface Parking,YES,,SOCIAL HOUSING,4155473,NO,NO,NO,110  STANLEY AVE ,NO,FREE,03,DOUBLE PANE,1959.0,2017.0
4220,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,12.0,0.0,3,12,NO,Surface Parking,NO,571051 ONTARIO LIMITED,PRIVATE,4155485,NO,YES,NO,12  ALBERT AVE ,NO,UNAVAILABLE,03,DOUBLE PANE,1957.0,2017.0
4221,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,46,NO,Surface Parking,YES,1138761 ONTARIO LTD. ,PRIVATE,4155488,NO,YES,NO,2532  LAKE SHORE BLVD W,NO,UNAVAILABLE,03,DOUBLE PANE,1955.0,2017.0
4222,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,26,NO,Surface Parking,YES,,PRIVATE,4155494,NO,YES,NO,2547  LAKE SHORE BLVD W,NO,FREE,03,DOUBLE PANE,1952.0,2017.0
4223,NONE,,NO,NO,0 indoor parking spots and 40 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,4.0,0.0,3,55,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,CAPREIT LIMITED PARTENERSHIP,PRIVATE,4155496,NO,YES,NO,2543  LAKE SHORE BLVD W,NO,FREE,03,DOUBLE PANE,1952.0,2017.0
4224,NONE,,YES,NO,0 indoor parking spots and 40 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,4.0,0.0,4,61,YES,Surface Parking,YES,CAPREIT LIMITED PARTNERSHIP,PRIVATE,4155499,NO,NO,NO,2529  LAKE SHORE BLVD W,NO,FREE,03,DOUBLE PANE,1952.0,2017.0
4225,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,ELECTRIC,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,11,NO,Surface Parking,YES,CASTLEHILL PROPERTY MANAGEMENT,PRIVATE,4155878,NO,NO,NO,60  WASDALE CRES ,YES,UNAVAILABLE,08,DOUBLE PANE,1960.0,2017.0
4226,NONE,,YES,YES,0 indoor parking spots and 25 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,91.0,49.0,1.0,6,92,NO,Surface Parking,YES,GREENWIN INC.,PRIVATE,4155882,NO,YES,NO,65  WINDERMERE AVE ,YES,UNAVAILABLE,04,DOUBLE PANE,1962.0,2017.0
4227,NONE,Indoor recreation room,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,4.0,5.0,2.0,13,178,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,TCH,TCHC,4156429,NO,NO,NO,5  BRAHMS AVE ,YES,PAID,17,SINGLE PANE,1971.0,2017.0
4228,NONE,,NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1.0,5.0,1.0,7,55,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,GREENWIN,TCHC,4156770,NO,NO,NO,267  JARVIS ST ,YES,PAID,13,DOUBLE PANE,1980.0,2017.0
4229,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,9.0,0.0,3,11,NO,"Ground Level Garage , Carport , Surface Parking",YES,EXCEL PROPERTY MANAGEMENT,PRIVATE,4156792,NO,YES,NO,878  LAWRENCE AVE E,NO,UNAVAILABLE,16,DOUBLE PANE,1960.0,2017.0
4230,NONE,Indoor recreation room,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,1.0,1.0,6,71,NO,Surface Parking,YES,CAPREIT,PRIVATE,4152663,NO,YES,NO,2265  VICTORIA PARK AVE ,YES,FREE,21,DOUBLE PANE,1964.0,2017.0
4231,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,30.0,0.0,3,30,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4152667,NO,NO,NO,130  FOXRIDGE DR ,YES,PAID,20,SINGLE PANE,1962.0,2017.0
4232,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,89.0,45.0,1.0,6,94,NO,Surface Parking,YES,GREENWIN INC.,PRIVATE,4152679,NO,YES,NO,2225  EGLINTON AVE E,YES,UNAVAILABLE,20,DOUBLE PANE,1971.0,2017.0
4233,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0.0,0.0,1.0,6,110,NO,Surface Parking,YES,YAD INVESTMENTS LTD,PRIVATE,4152681,NO,NO,NO,2233  EGLINTON AVE E,YES,PAID,20,DOUBLE PANE,1958.0,2017.0
4234,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,35,,,,,PRIVATE,4153078,,,,301  LANSDOWNE AVE ,,,09,DOUBLE PANE,1932.0,
4235,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,2.0,2.0,1.0,6,44,YES,"Ground Level Garage , Surface Parking",YES,TCH,TCHC,4153566,NO,NO,NO,540  QUEEN ST E,YES,PAID,13,DOUBLE PANE,1984.0,2017.0
4236,INDIVIDUAL UNITS,Indoor recreation room,NO,NO,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,29,NO,Surface Parking,YES,MAINSTAY HOUSING,SOCIAL HOUSING,4153574,NO,NO,NO,330  DUNDAS ST E,YES,FREE,13,DOUBLE PANE,1991.0,2017.0
4237,CENTRAL AIR,Indoor recreation room,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,1.0,1.0,4,41,NO,"Underground Garage , Ground Level Garage",YES,MAINSTAY HOUSING,SOCIAL HOUSING,4153577,NO,NO,NO,179  BROADVIEW AVE ,YES,FREE,14,DOUBLE PANE,1992.0,2017.0
4238,INDIVIDUAL UNITS,Indoor recreation room,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,16,NO,,YES,HOMES FIRST SOCIETY,SOCIAL HOUSING,4153579,NO,NO,NO,434  GERRARD ST E,YES,UNAVAILABLE,13,DOUBLE PANE,1891.0,2017.0
4239,NONE,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room",NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,26,NO,,YES,,SOCIAL HOUSING,4153582,NO,NO,NO,280  GERRARD ST E,NO,UNAVAILABLE,13,DOUBLE PANE,1991.0,2017.0
4240,NONE,,NO,NO,15 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,38,NO,,NO,WESTSIDE STOREYS LIMITED,PRIVATE,4153583,NO,YES,NO,317  SHERBOURNE ST ,NO,UNAVAILABLE,13,DOUBLE PANE,1931.0,2017.0
4241,NONE,Indoor recreation room,YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,3.0,4.0,2.0,8,254,YES,"Underground Garage , Garage accessible thru buildg",YES,,TCHC,4154086,NO,NO,NO,266  DONLANDS AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1986.0,2017.0
4242,NONE,,YES,NO,0 indoor parking spots and 8 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,20.0,0.0,4,30,NO,"Ground Level Garage , Surface Parking",YES,JONUS HOLDINGS INC,PRIVATE,4154087,NO,NO,NO,125  COSBURN AVE ,NO,UNAVAILABLE,14,SINGLE PANE,1960.0,2017.0
4243,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,6,40,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154099,NO,NO,NO,246  COSBURN AVE ,YES,UNAVAILABLE,14,DOUBLE PANE,1955.0,2017.0
4244,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,1.0,6,40,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154100,NO,NO,NO,250  COSBURN AVE ,YES,FREE,14,DOUBLE PANE,1927.0,2017.0
4245,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,11.0,0.0,3,11,NO,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4154585,NO,YES,NO,15  ROSSEAU RD ,NO,UNAVAILABLE,06,DOUBLE PANE,1951.0,2017.0
4246,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,11,,,,,PRIVATE,4154590,,,,25  ROSSEAU RD ,,,06,DOUBLE PANE,,
4247,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,1.0,1.0,4,58,NO,Surface Parking,NO,WESTDALE PROPERTIES,PRIVATE,4154596,NO,YES,NO,3880  BATHURST ST ,NO,PAID,06,DOUBLE PANE,1960.0,2017.0
4248,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,11,NO,"Ground Level Garage , Surface Parking",YES,DMS PROPERTY MANAGEMENT LTD.,PRIVATE,4154597,NO,YES,NO,26  ROSSEAU RD ,NO,UNAVAILABLE,06,DOUBLE PANE,1949.0,2017.0
4249,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,YES,0.0,0.0,0.0,4,13,NO,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4154612,NO,NO,NO,20  WILMINGTON AVE ,YES,FREE,06,DOUBLE PANE,1965.0,2017.0
4250,NONE,,YES,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Unknown,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,3,39,NO,Surface Parking,YES,SIGNET GROUP INC,PRIVATE,4154613,NO,YES,NO,10  WILMINGTON AVE ,NO,FREE,06,DOUBLE PANE,1960.0,2017.0
4251,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,1.0,3.0,2.0,11,85,YES,"Underground Garage , Surface Parking",YES,RANEE MANAGEMENT,PRIVATE,4154618,NO,YES,NO,715  FINCH AVE W,YES,FREE,06,DOUBLE PANE,1970.0,2017.0
4252,NONE,Indoor recreation room,YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,2.0,4.0,1.0,7,51,YES,"Underground Garage , Garage accessible thru buildg",YES,,TCHC,4154968,NO,NO,NO,154  VAUGHAN RD ,YES,BOTH,12,DOUBLE PANE,1983.0,2017.0
4253,NONE,,NO,NO,0 indoor parking spots and 24 outdoor parking spots,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,0.0,3,46,NO,,YES,1021122 ONTARIO LIMITED,PRIVATE,4154979,NO,NO,NO,205  VAUGHAN RD ,NO,UNAVAILABLE,12,SINGLE PANE,1930.0,2017.0
4254,NONE,,YES,YES,0 indoor parking spots and 40 outdoor parking spots,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,175.0,21.0,2.0,9,175,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154981,NO,YES,NO,120  RAGLAN AVE ,YES,FREE,12,DOUBLE PANE,1963.0,2017.0
4255,NONE,,NO,NO,0 indoor parking spots and 10 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,24,NO,,YES,,PRIVATE,4154989,NO,NO,NO,235  VAUGHAN RD ,NO,UNAVAILABLE,12,SINGLE PANE,1934.0,2017.0
4256,INDIVIDUAL UNITS,,NO,YES,Not Available,YES,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,34.0,0.0,1.0,4,34,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4155006,NO,YES,NO,1065  EGLINTON AVE W,YES,UNAVAILABLE,12,DOUBLE PANE,1955.0,2017.0
4257,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,35,,,,,PRIVATE,4155502,,,,2517  LAKE SHORE BLVD W,,,03,DOUBLE PANE,,
4258,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,1.0,6,60,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4155513,NO,YES,NO,2  ROYAL YORK RD ,YES,FREE,03,DOUBLE PANE,1967.0,2017.0
4259,NONE,,YES,YES,Not Available,NO,Unknown,YES,NO,HOT WATER,YES,NO,YES,YES,NO,33.0,27.0,1.0,5,33,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4155522,NO,YES,NO,155  LAKE SHORE DR ,NO,UNAVAILABLE,03,DOUBLE PANE,1959.0,2017.0
4260,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,3,12,NO,Surface Parking,YES,SELF,PRIVATE,4155524,NO,YES,NO,104  SIXTEENTH ST ,NO,UNAVAILABLE,03,DOUBLE PANE,1952.0,2017.0
4261,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,12,,,,,PRIVATE,4155528,,,,20  FOURTEENTH ST ,,,03,DOUBLE PANE,1957.0,
4262,CENTRAL AIR,Child play area,YES,YES,40 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,10.0,2.0,2.0,7,55,NO,"Underground Garage , Garage accessible thru buildg",YES,,SOCIAL HOUSING,4155530,NO,NO,NO,3078  LAKE SHORE BLVD W,YES,FREE,03,DOUBLE PANE,1992.0,2017.0
4263,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,3.0,4.0,2.0,14,178,YES,"Underground Garage , Garage accessible thru buildg",YES,,TCHC,4155531,NO,NO,NO,250  TWELFTH ST ,YES,UNAVAILABLE,03,DOUBLE PANE,1993.0,2017.0
4264,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0.0,2.0,2.0,16,132,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,H&R PROPERTY MANAGEMENT,PRIVATE,4155911,NO,YES,NO,22  WILLOWRIDGE RD ,YES,FREE,01,DOUBLE PANE,1971.0,2017.0
4265,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,NO,0.0,0.0,0.0,3,35,YES,Surface Parking,NO,,PRIVATE,4155916,NO,YES,NO,15  THIRTY THIRD ST ,NO,UNAVAILABLE,03,DOUBLE PANE,1970.0,2017.0
4266,NONE,,YES,YES,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,1.0,3,35,NO,"Underground Garage , Garage accessible thru buildg",YES,HOLLYBURN PROPERTIES LTD,PRIVATE,4155919,NO,YES,NO,80  HEATH ST W,YES,FREE,12,DOUBLE PANE,1959.0,2017.0
4267,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,14,NO,"Carport , Surface Parking",YES,,PRIVATE,4155924,NO,YES,NO,14  BEXHILL CRT ,NO,PAID,02,DOUBLE PANE,1952.0,2017.0
4268,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,2.0,3.0,0.0,3,11,NO,Surface Parking,YES,,PRIVATE,4156048,NO,NO,NO,24  PELL ST ,YES,FREE,20,DOUBLE PANE,1960.0,2017.0
4269,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Child play area",NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,YES,YES,YES,9.0,6.0,2.0,8,145,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,AYKLER MANAGEMENT,SOCIAL HOUSING,4156049,NO,NO,NO,1680  ELLESMERE RD ,YES,FREE,24,DOUBLE PANE,1994.0,2017.0
4270,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,14,NO,"Ground Level Garage , Surface Parking",YES,,SOCIAL HOUSING,4156073,NO,NO,NO,17  DURNFORD RD ,NO,FREE,25,DOUBLE PANE,1992.0,2018.0
4271,NONE,,NO,NO,0 indoor parking spots and 12 outdoor parking spots,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0.0,0.0,0.0,4,22,NO,Ground Level Garage,YES,,PRIVATE,4156447,NO,YES,NO,292  THE KINGSWAY  ,NO,UNAVAILABLE,02,DOUBLE PANE,1977.0,2017.0
4272,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,44,,,,,SOCIAL HOUSING,4479579,,,,419  COXWELL AVE ,,,19,DOUBLE PANE,,
4273,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,13,,,,,PRIVATE,4495076,,,,7  BIRCHLEA AVE ,,,03,DOUBLE PANE,1955.0,
4274,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,20,,,,,SOCIAL HOUSING,4480446,,,,55  THORA AVE ,,,20,DOUBLE PANE,,
4275,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,12,,,,,PRIVATE,4457092,,,,1131  O'CONNOR DR ,,,19,DOUBLE PANE,1951.0,
4276,INDIVIDUAL UNITS,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room",YES,YES,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,YES,NO,YES,64.0,42.0,1.0,7,64,YES,"Ground Level Garage , Garage accessible thru buildg",YES,REALSTAR MANAGMENT PARTNERSHIP,PRIVATE,4475546,NO,YES,NO,763  WOODBINE AVE ,YES,UNAVAILABLE,19,THERMAL,,2019.0
4277,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,YES,YES,NO,,,0.0,3,30,YES,,YES,GOWAN PROPERTY MANAGEMENT,PRIVATE,4415827,NO,NO,NO,438  JARVIS ST ,NO,UNAVAILABLE,13,DOUBLE PANE,1928.0,2018.0
4278,CENTRAL AIR,Indoor exercise room,NO,YES,9 indoor parking spots and 9 outdoor parking spots,YES,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,YES,8.0,,2.0,8,46,YES,,YES,PENNYLANE PROPERTIES,PRIVATE,4356202,NO,YES,NO,36  SPENCER AVE ,YES,UNAVAILABLE,04,THERMAL,2017.0,2018.0
4279,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,3,12,,,,,PRIVATE,4408389,,,,10  MOUNT ROYAL AVE ,,,09,DOUBLE PANE,1913.0,
4280,INDIVIDUAL UNITS,"Indoor recreation room , Indoor exercise room",YES,NO,75 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,NO,0.0,4.0,3.0,11,272,NO,"Underground Garage , Garage accessible thru buildg",YES,MEDALLION CORPORATION,PRIVATE,4288282,NO,YES,YES,3425  WESTON RD ,YES,FREE,07,DOUBLE PANE,2017.0,2018.0
4281,NONE,Outdoor rec facilities,NO,NO,50 indoor parking spots and 18 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,0.0,4,15,NO,"Ground Level Garage , Surface Parking",YES,GREENWIN INC.,PRIVATE,4317592,NO,YES,NO,3017 B  QUEEN ST E,NO,UNAVAILABLE,20,DOUBLE PANE,1954.0,2018.0
4282,NONE,,YES,NO,0 indoor parking spots and 8 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,0.0,2.0,9,109,NO,"Underground Garage , Surface Parking",YES,,PRIVATE,4221322,NO,YES,NO,48  GRENOBLE DR ,YES,FREE,16,DOUBLE PANE,1968.0,2017.0
4283,NONE,Outdoor pool,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,YES,YES,YES,NO,0.0,2.0,4.0,23,318,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,DMS PROPERTY MANAGEMENT LTD.,PRIVATE,4233149,NO,YES,NO,25  MARTHA EATON WAY ,YES,BOTH,05,DOUBLE PANE,1980.0,2017.0
4284,CENTRAL AIR,,NO,YES,0 indoor parking spots and 4 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0.0,1.0,2.0,13,128,NO,"Underground Garage , Garage accessible thru buildg , Carport , Surface Parking",YES,DMS PROPERTY MANAGEMENT LTD.,SOCIAL HOUSING,4233290,NO,NO,NO,29  SOUTH STATION ST ,YES,FREE,05,DOUBLE PANE,1984.0,2017.0
4285,NONE,,NO,NO,0 indoor parking spots and 10 outdoor parking spots,YES,Green Bin / Organics,YES,NO,ELECTRIC,YES,NO,NO,NO,NO,,,0.0,3,16,YES,,NO,,PRIVATE,4250094,,NO,NO,81  WILSON PARK RD ,NO,,04,DOUBLE PANE,1922.0,2018.0
4286,NONE,,NO,NO,0 indoor parking spots and 2 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,0.0,4,52,NO,Surface Parking,YES,CAPREIT,PRIVATE,4254276,NO,YES,NO,147  EIGHTH ST ,NO,UNAVAILABLE,03,DOUBLE PANE,1960.0,2017.0
4287,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,NO,0.0,0.0,0.0,3,12,YES,Surface Parking,YES,1979017 ONTARIO INC.,PRIVATE,4243768,NO,YES,NO,156  BARRINGTON AVE ,NO,UNAVAILABLE,19,DOUBLE PANE,1960.0,2017.0
4288,CENTRAL AIR,"Indoor recreation room , Indoor exercise room",YES,YES,100 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,YES,YES,YES,41.0,18.0,4.0,43,369,NO,"Underground Garage , Garage accessible thru buildg , Carport",YES,MEDALLION CORP,PRIVATE,4333386,NO,YES,YES,561  SHERBOURNE ST ,YES,PAID,YY,DOUBLE PANE,2018.0,2019.0
4289,NONE,Child play area,YES,NO,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0.0,0.0,4.0,18,371,NO,Ground Level Garage,YES,TIMBERCREEK COMMUNITIES,PRIVATE,4270720,NO,YES,NO,103  WEST LODGE AVE ,YES,UNAVAILABLE,04,DOUBLE PANE,1965.0,2018.0
4290,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,17,250,,,,,SOCIAL HOUSING,4289265,,,,150  ELIZABETH ST ,,,11,THERMAL,,
4291,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0.0,12.0,0.0,3,12,NO,Surface Parking,YES,R.M.Y. SILVERSTEIN,PRIVATE,4279693,NO,NO,NO,332  CHISHOLM AVE ,NO,FREE,19,DOUBLE PANE,1952.0,2017.0
